Date,Product ID,Product Name,Product Category,Region,Customer Segment, Sales Amount ,Units Sold,Customer Feedback Score
1/1/2023,MB1002,Mountain King,Mountain Bikes,North America,Individual," $7,907.00 ",7,1
1/1/2023,MB1003,Rocky Path,Mountain Bikes,North America,Retail Partner," $3,585.00 ",3,1
1/1/2023,MB1002,Mountain King,Mountain Bikes,Europe,Individual," $1,252.00 ",1,5
1/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,Europe,Retail Partner," $4,837.00 ",3,5
1/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,Asia,Individual," $5,538.00 ",2,3
1/1/2023,MB1002,Mountain King,Mountain Bikes,Asia,Retail Partner," $1,260.00 ",2,2
1/1/2023,RB2003,Velocity Pro,Road Bikes,North America,Individual," $1,273.00 ",5,2
1/1/2023,RB2003,Velocity Pro,Road Bikes,North America,Retail Partner," $1,434.00 ",1,4
1/1/2023,RB2001,Speedster RB,Road Bikes,Europe,Individual," $1,891.00 ",7,4
1/1/2023,RB2001,Speedster RB,Road Bikes,Europe,Retail Partner," $1,614.00 ",4,1
1/1/2023,RB2001,Speedster RB,Road Bikes,Asia,Individual," $1,910.00 ",2,1
1/1/2023,RB2002,Roadmaster,Road Bikes,Asia,Retail Partner," $1,342.00 ",1,5
1/1/2023,TB3003,Journey Classic,Touring Bikes,North America,Individual," $1,658.00 ",7,1
1/1/2023,TB3003,Journey Classic,Touring Bikes,North America,Retail Partner," $1,640.00 ",5,3
1/1/2023,TB3002,Tour De World,Touring Bikes,Europe,Individual," $1,069.00 ",4,5
1/1/2023,TB3003,Journey Classic,Touring Bikes,Europe,Retail Partner," $1,874.00 ",2,5
1/1/2023,TB3001,Traveler TB,Touring Bikes,Asia,Individual," $1,695.00 ",2,2
1/1/2023,TB3001,Traveler TB,Touring Bikes,Asia,Retail Partner," $1,688.00 ",2,1
2/1/2023,MB1003,Rocky Path,Mountain Bikes,North America,Individual," $4,918.00 ",7,4
2/1/2023,MB1002,Mountain King,Mountain Bikes,North America,Retail Partner," $3,682.00 ",6,2
2/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,Europe,Individual," $1,401.00 ",2,1
2/1/2023,MB1002,Mountain King,Mountain Bikes,Europe,Retail Partner," $2,097.00 ",3,2
2/1/2023,MB1003,Rocky Path,Mountain Bikes,Asia,Individual," $4,060.00 ",5,5
2/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,Asia,Retail Partner," $1,483.00 ",2,1
2/1/2023,RB2001,Speedster RB,Road Bikes,North America,Individual," $1,173.00 ",3,5
2/1/2023,RB2003,Velocity Pro,Road Bikes,North America,Retail Partner," $1,573.00 ",4,5
2/1/2023,RB2002,Roadmaster,Road Bikes,Europe,Individual," $2,085.00 ",3,5
2/1/2023,RB2001,Speedster RB,Road Bikes,Europe,Retail Partner," $1,939.00 ",6,4
2/1/2023,RB2003,Velocity Pro,Road Bikes,Asia,Individual," $2,373.00 ",2,5
2/1/2023,RB2002,Roadmaster,Road Bikes,Asia,Retail Partner," $1,068.00 ",1,3
2/1/2023,TB3001,Traveler TB,Touring Bikes,North America,Individual," $1,644.00 ",5,1
2/1/2023,TB3001,Traveler TB,Touring Bikes,North America,Retail Partner," $2,184.00 ",4,5
2/1/2023,TB3003,Journey Classic,Touring Bikes,Europe,Individual," $1,011.00 ",5,2
2/1/2023,TB3003,Journey Classic,Touring Bikes,Europe,Retail Partner," $3,234.00 ",5,4
2/1/2023,TB3001,Traveler TB,Touring Bikes,Asia,Individual," $1,680.00 ",7,2
2/1/2023,TB3002,Tour De World,Touring Bikes,Asia,Retail Partner," $1,598.00 ",5,3
3/1/2023,MB1002,Mountain King,Mountain Bikes,North America,Individual," $2,307.00 ",3,4
3/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,North America,Retail Partner," $1,493.00 ",1,2
3/1/2023,MB1003,Rocky Path,Mountain Bikes,Europe,Individual," $2,768.00 ",4,1
3/1/2023,MB1002,Mountain King,Mountain Bikes,Europe,Retail Partner," $2,089.00 ",3,5
3/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,Asia,Individual," $3,218.00 ",4,4
3/1/2023,MB1002,Mountain King,Mountain Bikes,Asia,Retail Partner," $1,323.00 ",1,4
3/1/2023,RB2003,Velocity Pro,Road Bikes,North America,Individual," $1,278.00 ",3,4
3/1/2023,RB2003,Velocity Pro,Road Bikes,North America,Retail Partner," $1,840.00 ",3,4
3/1/2023,RB2001,Speedster RB,Road Bikes,Europe,Individual," $1,519.00 ",3,2
3/1/2023,RB2001,Speedster RB,Road Bikes,Europe,Retail Partner," $1,400.00 ",2,1
3/1/2023,RB2001,Speedster RB,Road Bikes,Asia,Individual," $1,571.00 ",4,2
3/1/2023,RB2002,Roadmaster,Road Bikes,Asia,Retail Partner," $1,728.00 ",5,1
3/1/2023,TB3001,Traveler TB,Touring Bikes,North America,Individual," $8,399.00 ",5,5
3/1/2023,TB3003,Journey Classic,Touring Bikes,North America,Retail Partner," $4,890.00 ",10,2
3/1/2023,TB3002,Tour De World,Touring Bikes,Europe,Individual," $8,278.00 ",2,3
3/1/2023,TB3002,Tour De World,Touring Bikes,Europe,Retail Partner," $1,154.00 ",1,4
3/1/2023,TB3003,Journey Classic,Touring Bikes,Asia,Individual," $8,905.00 ",3,1
3/1/2023,TB3003,Journey Classic,Touring Bikes,Asia,Retail Partner," $4,147.00 ",8,2
4/1/2023,MB1003,Rocky Path,Mountain Bikes,North America,Individual," $4,269.00 ",5,5
4/1/2023,MB1003,Rocky Path,Mountain Bikes,North America,Retail Partner," $2,616.00 ",3,2
4/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,Europe,Individual," $3,029.00 ",5,3
4/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,Europe,Retail Partner," $1,637.00 ",2,5
4/1/2023,MB1002,Mountain King,Mountain Bikes,Asia,Individual," $2,544.00 ",3,4
4/1/2023,MB1003,Rocky Path,Mountain Bikes,Asia,Retail Partner," $2,402.00 ",3,2
4/1/2023,RB2001,Speedster RB,Road Bikes,North America,Individual," $1,489.00 ",5,4
4/1/2023,RB2001,Speedster RB,Road Bikes,North America,Retail Partner," $1,923.00 ",3,5
4/1/2023,RB2002,Roadmaster,Road Bikes,Europe,Individual," $1,909.00 ",3,4
4/1/2023,RB2003,Velocity Pro,Road Bikes,Europe,Retail Partner," $3,278.00 ",4,3
4/1/2023,RB2002,Roadmaster,Road Bikes,Asia,Individual," $1,282.00 ",1,3
4/1/2023,RB2003,Velocity Pro,Road Bikes,Asia,Retail Partner," $4,578.00 ",6,1
4/1/2023,TB3001,Traveler TB,Touring Bikes,North America,Individual," $2,133.00 ",4,1
4/1/2023,TB3002,Tour De World,Touring Bikes,North America,Retail Partner," $2,119.00 ",4,4
4/1/2023,TB3003,Journey Classic,Touring Bikes,Europe,Individual," $4,622.00 ",7,2
4/1/2023,TB3001,Traveler TB,Touring Bikes,Europe,Retail Partner," $4,495.00 ",9,4
4/1/2023,TB3002,Tour De World,Touring Bikes,Asia,Individual," $2,998.00 ",4,5
4/1/2023,TB3001,Traveler TB,Touring Bikes,Asia,Retail Partner," $4,030.00 ",6,3
5/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,North America,Individual," $1,409.00 ",2,1
5/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,North America,Retail Partner," $1,600.00 ",2,4
5/1/2023,MB1001,Trailblazer MTB,Mountain Bikes,Europe,Individual," $2,658.00 ",3,5
